municipios,Total,Abacate,Algodão arbóreo (em caroço),Açaí,Azeitona,Banana (cacho),Borracha (látex coagulado),Borracha (látex líquido),Cacau (em amêndoa),Café (em grão) Total,Café (em grão) Arábica,Café (em grão) Canephora,Caju,Caqui,Castanha de caju,Chá da índia (folha verde),Coco da baía*,Dendê (cacho de coco),Erva mate (folha verde),Figo,Goiaba,Guaraná (semente),Laranja,Limão,Maçã,Mamão,Manga,Maracujá,Marmelo,Noz (fruto seco),Palmito,Pera,Pêssego,Pimenta do reino,Sisal ou agave (fibra),Tangerina,Tungue (fruto seco),Urucum (semente),Uva
Ijaci,202,0,0,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilicínea,6977,0,0,0,0,0,0,0,0,6970,6970,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Imbé de Minas,3673,6,0,0,0,205,0,0,0,3400,3400,0,0,0,0,0,2,0,0,0,0,0,19,3,0,0,1,2,0,0,0,0,0,0,0,35,0,0,0
Inconfidentes,3059,0,0,0,0,23,0,0,0,3025,3025,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3
Indaiabira,569,0,0,0,0,12,0,0,0,540,540,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0
Indianópolis,5185,2,0,0,0,240,345,0,0,4570,4570,0,0,0,0,0,0,0,0,0,7,0,0,3,0,1,0,14,0,0,2,0,0,0,0,1,0,0,0
Ingaí,438,0,0,0,0,0,0,0,0,438,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inhapim,4133,25,0,0,0,445,0,0,0,3580,3580,0,0,0,0,0,5,0,0,0,0,0,14,5,0,0,15,30,0,0,0,0,0,0,0,14,0,0,0
Inhaúma,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inimutaba,24,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ipaba,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ipanema,341,2,0,0,0,24,0,0,0,302,25,277,0,0,0,0,4,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0
Ipatinga,17,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ipiaçu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ipuiúna,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraí de Minas,1224,50,0,0,0,12,0,0,0,1158,1158,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Itabira,62,0,0,0,0,50,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Itabirinha,185,0,0,0,0,6,0,0,0,159,111,48,0,0,0,0,4,0,0,0,0,0,2,0,0,1,6,0,0,0,0,0,0,7,0,0,0,0,0
Itabirito,24,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1
